Moisture,Rainfall,Average Humidity,Mean Temp,millet yield
-1.029330684,-0.59493956,0.404919065,-1.239316239,0.176219512
-0.526621932,-0.684927802,0.404919065,-1.581196581,-1.043292683
-1.279944668,-0.730769231,0.350191028,-1.581196581,1.395731707
0.382303924,-0.381902967,0.678559252,-1.752136752,-1.043292683
0.811393159,-0.730769231,0.842743363,-1.752136752,-0.433536585
0.60835664,-0.431961648,0.842743363,-1.581196581,-1.043292683
-1.670038531,-0.436032527,0.623831214,-1.752136752,-0.433536585
-0.851289839,-0.617761758,0.459647103,-1.666666667,-0.433536585
-0.202118109,-0.505882198,0.733287289,-1.41025641,-1.043292683
-1.202084004,-0.070834286,0.678559252,-1.495726496,1.395731707
0.652030584,0.193618681,0.350191028,-1.581196581,0.176219512
-1.203626761,-0.730769231,0.733287289,-1.752136752,1.395731707
0.408309356,-0.730769231,0.952199438,-1.581196581,1.395731707
0.214116097,0.637135055,0.459647103,-1.41025641,-0.433536585
-0.834349598,0.087962088,0.51437514,-1.581196581,-1.043292683
0.354319416,0.352572637,0.186006917,-1.41025641,-0.433536585
-0.886603219,1.718086813,0.678559252,-1.41025641,-1.043292683
1.537322736,0.681926813,0.51437514,-1.752136752,0.176219512
-0.060796881,0.515592527,0.459647103,-1.923076923,-1.043292683
1.314254527,0.149050989,0.459647103,-2.008547009,-1.043292683
1.206782897,0.12280989,0.8974714,-1.837606838,-1.043292683
-0.421377062,0.304384945,1.171111587,-1.666666667,-1.043292683
-0.485004326,0.250027253,1.225839624,-2.008547009,-1.043292683
0.360632294,0.484142198,0.842743363,-2.008547009,-1.043292683
0.424566801,0.61210967,1.882576071,-1.837606838,-0.433536585
-0.727200402,1.243884615,1.280567661,-1.752136752,-0.433536585
2.193751811,2.440893516,1.280567661,-1.41025641,-1.043292683
-1.878802515,2.205166044,0.240734954,-1.41025641,1.395731707
-1.10422998,1.258806813,0.404919065,-1.581196581,1.395731707
0.5733166,0.941846813,0.51437514,-1.495726496,0.176219512
-0.837444769,-0.141604286,0.788015326,-1.41025641,-0.433536585
-1.023409155,1.059028791,0.131278879,-1.837606838,-1.043292683
-0.969532897,2.499617473,0.623831214,-1.923076923,-1.043292683
-0.149411368,1.212684505,-0.032905232,-1.495726496,-1.043292683
0.354600101,1.229996703,0.131278879,-0.982905983,-1.043292683
1.35278169,0.681346923,0.51437514,-1.068376068,-0.433536585
-2.639125855,-0.133505604,1.171111587,-1.068376068,1.395731707
0.63355,-0.341249231,0.733287289,-0.811965812,-1.043292683
1.673764688,0.065364505,1.280567661,-0.726495726,-0.433536585
0.394388229,0.784724505,1.937304108,-0.982905983,-0.433536585
-0.672592757,2.177064396,1.225839624,-0.726495726,-1.043292683
-0.486425151,2.321198681,0.623831214,-0.726495726,-1.043292683
-0.070843863,2.911758901,0.404919065,-0.47008547,-1.043292683
